id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
147,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,5,6,6,4,4,6,4,5,6,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,10,weiblich,,,2100
148,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie",,"nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,2,2,6,3,3,2,2,1,1,5,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,19,weiblich,28,Erwerbstätigkeit,5000
149,seltener,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,5,3,5,4,1,5,4,4,4,4,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,17,weiblich,23,Studium,500
150,nie,,,,,,,,,"nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,6,6,1,1,6,6,,6,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,1,0,1,Nein,14,weiblich,28,Erwerbstätigkeit,2200
151,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",5,6,6,6,4,5,6,6,6,6,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Ja,13,weiblich,25,Studium,600
152,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,4,4,3,4,4,3,5,3,4,5,5,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Ja,13,weiblich,19,Schule,100
153,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,3,3,4,3,4,5,6,3,4,4,4,seltener,10 Euro bis weniger als 25 Euro,Drogerien,1,1,1,Nein,24,weiblich,24,Sonstiges,2400
154,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,3,3,6,4,2,3,5,3,1,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,19,weiblich,28,Erwerbstätigkeit,1900
155,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,5,4,6,4,4,4,6,4,3,4,6,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Ja,18,weiblich,23,Studium,300
156,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,3,4,5,4,2,2,4,5,,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,1,Nein,22,divers,20,Studium,500
157,seltener,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst","nein, nicht bewusst",3,6,4,,4,3,6,3,3,3,5,6,nie,0 Euro,Supermarkt,0,0,0,Nein,6,divers,21,Erwerbstätigkeit,1400
158,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,6,3,6,6,3,6,6,6,3,6,6,einmal im Monat,0 Euro,Supermarkt,0,1,0,Nein,,männlich,27,Erwerbstätigkeit,4700
159,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt",,"nein, nicht bewusst","ja, vereinzelt",4,5,5,6,5,1,4,4,5,5,5,,einmal im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,0,Ja,19,,20,Erwerbstätigkeit,1600
160,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,6,6,6,6,4,6,4,4,4,4,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Nein,24,weiblich,27,Sonstiges,
161,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",6,4,5,5,6,4,5,4,,3,5,5,einmal im Monat,,Drogerien,1,1,1,Ja,31,weiblich,17,Studium,700
162,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,4,5,4,6,2,3,5,5,4,4,6,nie,weniger als 10 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Nein,10,weiblich,25,Studium,600
163,,"nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",2,3,3,4,4,3,4,4,3,4,3,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,20,,22,Studium,700
164,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",6,6,5,3,6,6,6,4,4,5,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,12,weiblich,21,Studium,400
165,seltener,"ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",3,5,4,6,4,3,5,6,4,3,4,2,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,0,0,Nein,8,weiblich,21,Studium,300
166,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,5,5,5,4,2,6,5,6,4,5,seltener,weniger als 10 Euro,Supermarkt,0,1,1,Nein,17,weiblich,17,Sonstiges,2500
167,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",4,4,4,4,5,4,5,4,4,5,5,4,,50 Euro bis weniger als 100 Euro,Drogerien,0,0,1,Nein,16,weiblich,21,Studium,300
168,,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,5,4,6,6,3,6,6,4,4,6,6,nie,weniger als 10 Euro,Drogerien,0,1,1,Nein,12,männlich,20,Ausbildung,900
169,mehrmals wöchentlich,"nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,4,3,4,4,3,5,4,4,5,5,4,nie,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,0,Ja,20,weiblich,24,Erwerbstätigkeit,4600
170,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,6,6,3,3,4,6,3,5,6,6,nie,,Supermarkt,1,0,1,Nein,19,divers,34,Erwerbstätigkeit,2400
171,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",2,6,6,6,6,4,6,6,6,6,6,6,wöchentlich,10 Euro bis weniger als 25 Euro,Online_Handel,0,1,1,Nein,16,männlich,21,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,seltener,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,5,4,5,3,4,3,4,5,4,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,,0,1,0,Ja,13,weiblich,27,Studium,600
174,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,4,3,6,5,3,3,5,4,4,4,4,seltener,0 Euro,Supermarkt,1,0,0,Nein,,männlich,30,Erwerbstätigkeit,2200
175,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst",,"nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",4,4,3,5,4,3,4,2,3,4,4,6,seltener,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,20,weiblich,22,Studium,600
176,mehrmals wöchentlich,"nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,4,5,4,4,3,5,,4,5,5,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,20,männlich,30,Erwerbstätigkeit,2700
177,,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,5,4,5,4,5,4,4,4,4,4,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Ja,15,weiblich,23,Studium,500
178,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,,6,6,6,,4,4,6,6,6,6,,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,21,weiblich,20,Studium,300
179,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",5,5,4,6,4,5,6,6,5,4,6,6,einmal im Monat,0 Euro,Supermarkt,0,1,1,Nein,12,männlich,26,Studium,700
180,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",4,3,2,6,1,2,5,2,3,2,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,11,divers,20,Studium,100
181,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",6,6,6,5,6,5,5,5,6,4,4,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Nein,9,weiblich,28,Erwerbstätigkeit,
182,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",6,6,4,6,6,3,4,4,4,4,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,17,,30,Studium,600
183,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal",,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,6,6,5,5,1,6,5,5,6,5,5,,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,21,weiblich,23,Studium,500
184,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",,1,3,4,4,4,2,4,2,2,3,4,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,1,Nein,10,weiblich,,Studium,400
185,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",3,2,3,3,6,3,4,5,3,2,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,0,Nein,12,weiblich,20,Ausbildung,800
186,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,6,6,6,6,3,6,6,6,6,6,6,einmal im Monat,weniger als 10 Euro,Drogerien,1,1,1,Nein,23,weiblich,24,Studium,800
187,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie",,"nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst",1,2,6,6,6,4,4,6,5,5,5,4,seltener,weniger als 10 Euro,Supermarkt,0,1,0,Nein,11,,21,Studium,600
188,seltener,"nein, nie","ja, manchmal","nein, nie","nein, nie","nein, nie","nein, nie","ja, manchmal","nein, nie",,"nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,3,3,3,2,3,3,3,4,1,,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,27,männlich,28,Studium,500
189,seltener,"ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,5,5,6,4,4,4,3,4,2,6,5,nie,weniger als 10 Euro,Drogerien,0,1,1,Nein,19,,24,Studium,900
190,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,4,4,4,4,3,4,4,5,5,5,5,wöchentlich,10 Euro bis weniger als 25 Euro,Online_Handel,1,1,0,Ja,23,männlich,31,Sonstiges,900
191,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,2,6,6,6,2,6,6,6,6,6,2,mehrmals im Monat,,Supermarkt,0,1,1,Nein,26,weiblich,18,Studium,200
192,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","nein, nie",,"nein, nie",,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,2,6,4,4,4,6,4,4,3,5,5,nie,weniger als 10 Euro,Supermarkt,1,1,0,Ja,26,männlich,18,Studium,100
193,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,5,5,4,3,4,4,4,5,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,14,divers,21,Erwerbstätigkeit,1600
194,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst",,"ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",4,6,6,6,6,3,6,6,6,4,6,6,nie,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,23,weiblich,20,Studium,
195,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,,6,6,4,,5,6,6,6,6,nie,0 Euro,Supermarkt,1,1,0,Ja,20,,22,Studium,800
196,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",5,6,6,6,6,4,6,5,6,6,6,6,mehrmals im Monat,,Drogerien,1,0,0,Ja,,weiblich,22,Studium,300
197,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",3,6,6,6,3,4,,4,5,5,5,6,mehrmals im Monat,,Drogerien,1,1,0,Ja,33,weiblich,22,Studium,300
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",4,5,4,6,6,2,4,6,6,4,6,6,nie,weniger als 10 Euro,Supermarkt,1,1,0,Ja,26,weiblich,21,Sonstiges,1500
200,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",,3,5,5,4,5,3,4,5,4,4,4,4,nie,weniger als 10 Euro,Supermarkt,1,1,1,Ja,27,männlich,25,Studium,700
201,mehrmals wöchentlich,"ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",4,4,3,6,2,1,6,4,1,3,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,15,weiblich,24,Studium,600
202,,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",3,4,4,4,4,3,4,5,3,3,4,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,0,0,Nein,12,weiblich,21,Studium,300
203,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal",,"ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",3,5,5,4,5,3,,6,5,5,5,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,1,0,Ja,24,,21,Erwerbstätigkeit,2100
204,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,6,4,6,6,2,6,6,6,3,6,6,nie,,Supermarkt,0,1,0,Ja,13,männlich,,Studium,200
205,mehrmals wöchentlich,"ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig",4,6,6,6,6,3,6,6,6,5,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,21,weiblich,25,Ausbildung,800
206,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,4,3,4,4,3,3,,4,3,einmal im Monat,weniger als 10 Euro,Supermarkt,0,0,0,Nein,11,männlich,17,Sonstiges,1200
207,täglich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",3,3,4,4,3,4,3,4,3,4,4,4,wöchentlich,100 Euro oder mehr,Drogerien,1,0,1,Ja,27,weiblich,20,Studium,500
208,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,5,5,3,4,2,3,4,5,,nie,weniger als 10 Euro,Supermarkt,1,1,0,Ja,,weiblich,,Erwerbstätigkeit,4700
209,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,4,4,3,4,5,3,4,6,,nie,0 Euro,Supermarkt,0,0,1,Nein,7,weiblich,28,Studium,
210,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",5,6,6,6,6,5,6,6,4,5,6,5,seltener,weniger als 10 Euro,,0,0,1,Nein,15,weiblich,19,Schule,100
211,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,5,4,5,4,4,4,3,4,4,6,4,,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,0,Ja,,,19,Schule,100
212,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,5,5,5,4,3,4,4,,4,3,4,seltener,,Supermarkt,0,1,1,Nein,11,männlich,19,Ausbildung,600
213,täglich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,,4,6,4,2,5,6,4,3,4,6,nie,weniger als 10 Euro,Supermarkt,0,0,0,Nein,9,männlich,,Sonstiges,400
214,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,3,4,6,,1,,6,5,3,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,0,Nein,12,weiblich,20,Studium,400
215,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig",5,6,4,4,1,,6,3,4,2,6,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,1,0,Ja,13,weiblich,26,Studium,400
